[extract] Loading dataset: LabHC/bias_in_bios …
[extract] Train: 50,000  Test: 20,000
[extract] Loading model: meta-llama/Llama-3.2-3B …

[extract] train  (50,000 examples)
  [train]    100/50000  24.5 ex/s  ETA 34.0 min
  [train]    200/50000  29.4 ex/s  ETA 28.2 min
  [train]    300/50000  31.5 ex/s  ETA 26.3 min
  [train]    400/50000  32.7 ex/s  ETA 25.2 min
  [train]    500/50000  33.5 ex/s  ETA 24.6 min
  [train]    600/50000  34.0 ex/s  ETA 24.2 min
  [train]    700/50000  34.4 ex/s  ETA 23.9 min
  [train]    800/50000  34.7 ex/s  ETA 23.6 min
  [train]    900/50000  34.9 ex/s  ETA 23.4 min
  [train]   1000/50000  35.1 ex/s  ETA 23.3 min
  [train]   1100/50000  35.2 ex/s  ETA 23.1 min
  [train]   1200/50000  35.3 ex/s  ETA 23.0 min
  [train]   1300/50000  35.4 ex/s  ETA 22.9 min
  [train]   1400/50000  35.5 ex/s  ETA 22.8 min
  [train]   1500/50000  35.6 ex/s  ETA 22.7 min
  [train]   1600/50000  35.7 ex/s  ETA 22.6 min
  [train]   1700/50000  35.7 ex/s  ETA 22.5 min
  [train]   1800/50000  35.8 ex/s  ETA 22.5 min
  [train]   1900/50000  35.8 ex/s  ETA 22.4 min
  [train]   2000/50000  35.9 ex/s  ETA 22.3 min
  [train]   2100/50000  35.9 ex/s  ETA 22.2 min
  [train]   2200/50000  35.9 ex/s  ETA 22.2 min
  [train]   2300/50000  35.9 ex/s  ETA 22.1 min
  [train]   2400/50000  36.0 ex/s  ETA 22.1 min
  [train]   2500/50000  36.0 ex/s  ETA 22.0 min
  [train]   2600/50000  36.0 ex/s  ETA 22.0 min
  [train]   2700/50000  36.0 ex/s  ETA 21.9 min
  [train]   2800/50000  36.0 ex/s  ETA 21.8 min
  [train]   2900/50000  36.0 ex/s  ETA 21.8 min
  [train]   3000/50000  36.0 ex/s  ETA 21.7 min
  [train]   3100/50000  36.1 ex/s  ETA 21.7 min
  [train]   3200/50000  36.1 ex/s  ETA 21.6 min
  [train]   3300/50000  36.1 ex/s  ETA 21.6 min
  [train]   3400/50000  36.1 ex/s  ETA 21.5 min
  [train]   3500/50000  36.1 ex/s  ETA 21.4 min
  [train]   3600/50000  36.2 ex/s  ETA 21.4 min
  [train]   3700/50000  36.2 ex/s  ETA 21.3 min
  [train]   3800/50000  36.2 ex/s  ETA 21.3 min
  [train]   3900/50000  36.2 ex/s  ETA 21.2 min
  [train]   4000/50000  36.2 ex/s  ETA 21.2 min
  [train]   4100/50000  36.2 ex/s  ETA 21.1 min
  [train]   4200/50000  36.2 ex/s  ETA 21.1 min
  [train]   4300/50000  36.3 ex/s  ETA 21.0 min
  [train]   4400/50000  36.3 ex/s  ETA 21.0 min
  [train]   4500/50000  36.3 ex/s  ETA 20.9 min
  [train]   4600/50000  36.3 ex/s  ETA 20.9 min
  [train]   4700/50000  36.3 ex/s  ETA 20.8 min
  [train]   4800/50000  36.3 ex/s  ETA 20.8 min
  [train]   4900/50000  36.3 ex/s  ETA 20.7 min
  [train]   5000/50000  36.3 ex/s  ETA 20.7 min
  [train]   5100/50000  36.3 ex/s  ETA 20.6 min
  [train]   5200/50000  36.3 ex/s  ETA 20.6 min
  [train]   5300/50000  36.3 ex/s  ETA 20.5 min
  [train]   5400/50000  36.3 ex/s  ETA 20.5 min
